scenario_order,attack_count,attacks,dataset_code,dataset,accuracy_no_annt,accuracy_annt,accuracy_improvement_reported,auc_no_annt,auc_annt,auc_improvement_reported,computational_time_normalized
1,1,FGSM,A,Nakanishi2015,0.88,0.91,0.03,0.96,0.99,0.03,100.00
1,1,FGSM,B,Lee2019_SSVEP,0.65,0.80,0.15,0.66,0.94,0.32,454.68
2,1,BIM,A,Nakanishi2015,0.83,0.88,0.05,0.93,0.97,0.04,454.68
2,1,BIM,B,Lee2019_SSVEP,0.60,0.80,0.20,0.65,0.95,0.30,743.75
3,1,C&W,A,Nakanishi2015,0.85,0.91,0.06,0.91,0.95,0.04,395.54
3,1,C&W,B,Lee2019_SSVEP,0.63,0.85,0.22,0.65,0.98,0.33,628.96
4,1,MIM,A,Nakanishi2015,0.82,0.89,0.07,0.92,0.97,0.05,511.79
4,1,MIM,B,Lee2019_SSVEP,0.58,0.81,0.23,0.63,0.97,0.34,977.71
5,1,PGD,A,Nakanishi2015,0.78,0.86,0.08,0.91,0.96,0.05,571.43
5,1,PGD,B,Lee2019_SSVEP,0.55,0.79,0.24,0.57,0.93,0.36,1147.68
6,2,FGSM + C&W,A,Nakanishi2015,0.84,0.92,0.08,0.91,0.98,0.07,454.68
6,2,FGSM + C&W,B,Lee2019_SSVEP,0.62,0.83,0.21,0.64,0.97,0.33,798.75
7,2,FGSM + BIM,A,Nakanishi2015,0.83,0.90,0.07,0.93,0.99,0.06,511.79
7,2,FGSM + BIM,B,Lee2019_SSVEP,0.61,0.81,0.30,0.63,0.94,0.31,977.71
8,2,FGSM + MIM,A,Nakanishi2015,0.83,0.91,0.08,0.92,0.98,0.06,571.43
8,2,FGSM + MIM,B,Lee2019_SSVEP,0.60,0.78,0.18,0.63,0.94,0.31,1147.68
9,2,FGSM + PGD,A,Nakanishi2015,0.81,0.88,0.07,0.91,0.97,0.06,628.96
9,2,FGSM + PGD,B,Lee2019_SSVEP,0.58,0.79,0.21,0.60,0.94,0.34,1321.07
10,2,C&W + BIM,A,Nakanishi2015,0.82,0.89,0.07,0.90,0.96,0.06,571.43
10,2,C&W + BIM,B,Lee2019_SSVEP,0.60,0.82,0.22,0.63,0.96,0.33,1147.68
11,2,C&W + MIM,A,Nakanishi2015,0.81,0.90,0.09,0.90,0.96,0.06,628.96
11,2,C&W + MIM,B,Lee2019_SSVEP,0.58,0.83,0.25,0.62,0.96,0.24,1321.07
12,2,C&W + PGD,A,Nakanishi2015,0.80,0.88,0.08,0.89,0.95,0.06,695.54
12,2,C&W + PGD,B,Lee2019_SSVEP,0.57,0.81,0.24,0.59,0.96,0.37,1496.43
13,2,BIM + MIM,A,Nakanishi2015,0.80,0.88,0.08,0.90,0.97,0.07,695.54
13,2,BIM + MIM,B,Lee2019_SSVEP,0.57,0.80,0.23,0.62,0.96,0.34,1496.43
14,2,BIM + PGD,A,Nakanishi2015,0.78,0.87,0.09,0.90,0.96,0.06,743.75
14,2,BIM + PGD,B,Lee2019_SSVEP,0.55,0.79,0.24,0.59,0.94,0.35,1669.82
15,2,MIM + PGD,A,Nakanishi2015,0.78,0.87,0.09,0.90,0.96,0.06,811.79
15,2,MIM + PGD,B,Lee2019_SSVEP,0.54,0.80,0.26,0.58,0.95,0.37,1857.86
16,3,FGSM + C&W + BIM,A,Nakanishi2015,0.79,0.89,0.10,0.85,0.96,0.11,628.96
16,3,FGSM + C&W + BIM,B,Lee2019_SSVEP,0.57,0.81,0.14,0.59,0.93,0.34,1321.07
17,3,FGSM + C&W + MIM,A,Nakanishi2015,0.78,0.88,0.10,0.87,0.95,0.08,695.54
17,3,FGSM + C&W + MIM,B,Lee2019_SSVEP,0.56,0.81,0.25,0.58,0.94,0.36,1496.43
18,3,FGSM + C&W + PGD,A,Nakanishi2015,0.76,0.87,0.12,0.87,0.93,0.06,743.75
18,3,FGSM + C&W + PGD,B,Lee2019_SSVEP,0.55,0.78,0.23,0.55,0.92,0.37,1669.82
19,3,FGSM + BIM + MIM,A,Nakanishi2015,0.77,0.86,0.09,0.87,0.94,0.07,743.75
19,3,FGSM + BIM + MIM,B,Lee2019_SSVEP,0.55,0.77,0.22,0.60,0.92,0.32,1669.82
20,3,FGSM + BIM + PGD,A,Nakanishi2015,0.75,0.85,0.10,0.87,0.94,0.07,811.79
20,3,FGSM + BIM + PGD,B,Lee2019_SSVEP,0.54,0.76,0.22,0.55,0.91,0.36,1857.86
21,3,FGSM + MIM + PGD,A,Nakanishi2015,0.75,0.86,0.11,0.86,0.94,0.08,869.29
21,3,FGSM + MIM + PGD,B,Lee2019_SSVEP,0.53,0.76,0.23,0.55,0.92,0.37,2039.29
22,3,C&W + BIM + MIM,A,Nakanishi2015,0.77,0.86,0.09,0.86,0.93,0.07,811.79
22,3,C&W + BIM + MIM,B,Lee2019_SSVEP,0.54,0.79,0.25,0.58,0.93,0.35,1857.86
23,3,C&W + BIM + PGD,A,Nakanishi2015,0.75,0.84,0.09,0.85,0.93,0.08,869.29
23,3,C&W + BIM + PGD,B,Lee2019_SSVEP,0.53,0.78,0.25,0.55,0.92,0.37,2039.29
24,3,C&W + MIM + PGD,A,Nakanishi2015,0.74,0.85,0.11,0.85,0.93,0.08,928.93
24,3,C&W + MIM + PGD,B,Lee2019_SSVEP,0.52,0.78,0.26,0.54,0.92,0.38,2219.64
25,3,BIM + MIM + PGD,A,Nakanishi2015,0.74,0.85,0.11,0.86,0.94,0.08,977.71
25,3,BIM + MIM + PGD,B,Lee2019_SSVEP,0.51,0.77,0.26,0.55,0.91,0.36,2397.82
26,4,FGSM + C&W + BIM + MIM,A,Nakanishi2015,0.74,0.85,0.11,0.83,0.92,0.09,869.29
26,4,FGSM + C&W + BIM + MIM,B,Lee2019_SSVEP,0.53,0.77,0.24,0.55,0.91,0.36,2039.29
27,4,FGSM + C&W + BIM + PGD,A,Nakanishi2015,0.72,0.84,0.12,0.83,0.91,0.08,928.93
27,4,FGSM + C&W + BIM + PGD,B,Lee2019_SSVEP,0.51,0.76,0.25,0.51,0.90,0.39,2219.64
28,4,FGSM + C&W + MIM + PGD,A,Nakanishi2015,0.72,0.85,0.13,0.82,0.91,0.09,977.71
28,4,FGSM + C&W + MIM + PGD,B,Lee2019_SSVEP,0.50,0.76,0.26,0.51,0.90,0.39,2397.82
29,4,FGSM + BIM + MIM + PGD,A,Nakanishi2015,0.70,0.83,0.13,0.82,0.92,0.10,1041.07
29,4,FGSM + BIM + MIM + PGD,B,Lee2019_SSVEP,0.49,0.75,0.26,0.51,0.90,0.39,2569.64
30,4,C&W + BIM + MIM + PGD,A,Nakanishi2015,0.71,0.83,0.12,0.82,0.91,0.09,1105.36
30,4,C&W + BIM + MIM + PGD,B,Lee2019_SSVEP,0.46,0.76,0.30,0.51,0.88,0.37,2736.79
31,5,FGSM + C&W + BIM + MIM + PGD,A,Nakanishi2015,0.63,0.79,0.16,0.73,0.87,0.14,1147.68
31,5,FGSM + C&W + BIM + MIM + PGD,B,Lee2019_SSVEP,0.41,0.71,0.30,0.42,0.85,0.43,2880.36
